행정동,분기,임대료(천원/㎡)
창신1동,20223,75.5
창신1동,20224,75.5
창신1동,20231,75.5
창신1동,20232,75.7
창신1동,20233,75.6
창신1동,20234,75.6
창신1동,20241,75.8
창신1동,20242,76.1
창신1동,20243,70.4
창신1동,20244,70.6
창신1동,20244,69.8
창신1동,20251,70.2
창신1동,20252,69.3
창신1동,20253,69.4
창신1동,20254,69.8
창신2동,20211,72.8
창신2동,20212,72.5
창신2동,20213,72.3
창신2동,20214,71.4
창신2동,20221,75.6
창신2동,20222,75.6
창신2동,20223,75.5
창신2동,20224,75.5
창신2동,20231,75.5
창신2동,20232,75.7
창신2동,20233,75.6
창신2동,20234,75.6
창신2동,20241,75.8
창신2동,20242,76.1
창신2동,20243,70.4
창신2동,20244,70.6
창신2동,20244,69.8
창신2동,20251,70.2
창신2동,20252,69.3
창신2동,20253,69.4
창신2동,20254,69.8
창신3동,20211,72.8
창신3동,20212,72.5
창신3동,20213,72.3
창신3동,20214,71.4
창신3동,20221,75.6
창신3동,20222,75.6
창신3동,20223,75.5
창신3동,20224,75.5
창신3동,20231,75.5
창신3동,20232,75.7
창신3동,20233,75.6
창신3동,20234,75.6
창신3동,20241,75.8
창신3동,20242,76.1
창신3동,20243,70.4
창신3동,20244,70.6
창신3동,20244,69.8
창신3동,20251,70.2
창신3동,20252,69.3
창신3동,20253,69.4
창신3동,20254,69.8
숭인1동,20211,72.8
숭인1동,20212,72.5
숭인1동,20213,72.3
숭인1동,20214,71.4
숭인1동,20221,75.6
숭인1동,20222,75.6
숭인1동,20223,75.5
숭인1동,20224,75.5
숭인1동,20231,75.5
숭인1동,20232,75.7
숭인1동,20233,75.6
숭인1동,20234,75.6
숭인1동,20241,75.8
숭인1동,20242,76.1
숭인1동,20243,70.4
숭인1동,20244,70.6
숭인1동,20244,69.8
숭인1동,20251,70.2
숭인1동,20252,69.3
숭인1동,20253,69.4
숭인1동,20254,69.8
숭인2동,20211,72.8
숭인2동,20212,72.5
숭인2동,20213,72.3
숭인2동,20214,71.4
숭인2동,20221,75.6
숭인2동,20222,75.6
숭인2동,20223,75.5
숭인2동,20224,75.5
숭인2동,20231,75.5
숭인2동,20232,75.7
숭인2동,20233,75.6
숭인2동,20234,75.6
숭인2동,20241,75.8
숭인2동,20242,76.1
숭인2동,20243,70.4
숭인2동,20244,70.6
숭인2동,20244,69.8
숭인2동,20251,70.2
숭인2동,20252,69.3
숭인2동,20253,69.4
숭인2동,20254,69.8
소공동,20211,83.2
소공동,20212,80.4
소공동,20213,78.7
소공동,20214,76.9
소공동,20221,75.9
소공동,20222,76
소공동,20223,76
소공동,20224,77.4
소공동,20231,79.1
소공동,20232,78.4
소공동,20233,78.8
소공동,20234,79.6
소공동,20241,80.4
소공동,20242,81.3
소공동,20243,76.8
소공동,20244,77
소공동,20244,77.9
소공동,20251,77
소공동,20252,77.2
소공동,20253,77.2
소공동,20254,77.9
회현동,20211,83.2
회현동,20212,80.4
회현동,20213,78.7
회현동,20214,76.9
회현동,20221,75.9
회현동,20222,76
회현동,20223,76
회현동,20224,77.4
회현동,20231,79.1
회현동,20232,78.4
회현동,20233,78.8
회현동,20234,79.6
회현동,20241,80.4
회현동,20242,81.3
회현동,20243,76.8
회현동,20244,77
회현동,20244,77.9
회현동,20251,77
회현동,20252,77.2
회현동,20253,77.2
회현동,20254,77.9
명동,20211,83.2
명동,20212,80.4
명동,20213,78.7
명동,20214,76.9
명동,20221,75.9
명동,20222,76
명동,20223,76
명동,20224,77.4
명동,20231,79.1
명동,20232,78.4
명동,20233,78.8
명동,20234,79.6
명동,20241,80.4
명동,20242,81.3
명동,20243,76.8
명동,20244,77
명동,20244,77.9
명동,20251,77
명동,20252,77.2
