행정동,수요_점수,구매력_점수,리스크_점수,종합_점수,클러스터,클러스터_세분화
방배2동,30.67,10.33,10.94,15.8,0,0
방배본동,26.68,19.12,8.37,15.72,1,0
응암1동,41.85,2.59,8.69,15.57,0,0
홍은2동,46.44,2.94,6.12,15.55,0,3
화곡8동,49.49,1.42,5.3,15.54,0,3
묵1동,43.0,4.78,6.8,15.48,0,0
석관동,44.6,3.67,6.45,15.44,0,3
성내1동,32.69,6.35,11.16,15.42,0,0
중곡4동,42.66,5.61,6.4,15.4,0,0
세곡동,36.79,8.28,7.99,15.37,0,0
삼선동,33.93,4.27,11.44,15.35,0,0
도곡2동,25.76,17.35,8.95,15.33,1,0
우이동,38.33,4.74,8.68,15.22,0,0
구의1동,37.84,3.95,9.15,15.13,0,0
응암3동,39.6,1.31,9.46,15.07,0,0
화곡6동,38.05,4.64,8.56,15.06,0,0
오류2동,46.03,2.4,5.52,15.02,0,3
구로2동,39.03,3.47,8.51,14.99,0,0
서원동,32.41,9.92,8.57,14.96,0,0
군자동,31.15,5.26,11.57,14.96,0,0
성북동,28.72,5.88,12.29,14.85,1,0
사당2동,34.9,9.39,7.27,14.81,0,0
잠실2동,27.7,19.43,5.82,14.79,1,0
목5동,35.8,12.08,5.3,14.74,0,0
낙성대동,26.17,4.83,13.89,14.73,1,0
회기동,18.15,12.98,13.77,14.68,1,1
성내2동,35.82,3.49,9.51,14.68,0,0
망원2동,32.22,3.41,11.31,14.63,0,0
공항동,39.28,2.64,7.97,14.57,0,0
성수2가1동,20.2,10.52,13.73,14.56,1,1
신도림동,30.86,6.84,10.08,14.54,1,0
방학1동,35.68,4.65,8.64,14.5,0,0
인헌동,40.55,4.61,6.09,14.47,0,0
남가좌2동,33.4,4.43,9.84,14.46,0,0
신사1동,44.01,2.63,5.24,14.42,0,0
방배1동,29.69,9.61,9.0,14.4,1,0
필동,12.05,14.35,15.57,14.37,1,1
신대방2동,26.76,11.57,9.43,14.36,1,0
갈현1동,39.08,2.54,7.68,14.36,0,0
상봉2동,34.73,4.61,8.88,14.36,0,0
신내1동,35.49,4.56,8.46,14.34,0,0
이문1동,27.19,9.72,10.01,14.3,1,0
대흥동,23.12,8.6,12.54,14.23,1,1
자양3동,25.53,14.21,8.39,14.2,1,0
천호1동,43.13,1.75,5.58,14.15,0,0
구의2동,38.26,3.05,7.43,14.15,0,0
개봉1동,40.61,2.51,6.47,14.14,0,0
은천동,37.34,3.72,7.21,13.98,0,0
장지동,37.3,4.38,6.76,13.92,0,0
목4동,39.48,2.8,6.37,13.88,0,0
등촌1동,26.51,8.44,10.14,13.87,1,0
미아동,39.62,1.89,6.7,13.84,0,0
구로4동,41.86,3.16,4.76,13.78,0,0
