행정동,분기,임대료(천원/㎡),구,버스정류장수,지하철역수,수요_점수,구매력_점수,리스크_점수,종합_점수,클러스터,클러스터_세분화
부암동,20214,71.4,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20221,75.6,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20222,75.6,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20223,75.5,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20224,75.5,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20231,75.5,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20232,75.7,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20233,75.6,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20234,75.6,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20241,75.8,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20242,76.1,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20243,70.4,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20244,70.6,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20244,69.8,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20251,70.2,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20252,69.3,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20253,69.4,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
부암동,20254,69.8,부암동,50.0,0,16.02,4.81,6.38,8.43,1.0,1.0
평창동,20211,72.8,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20212,72.5,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20213,72.3,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20214,71.4,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20221,75.6,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20222,75.6,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20223,75.5,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20224,75.5,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20231,75.5,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20232,75.7,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20233,75.6,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20234,75.6,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20241,75.8,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20242,76.1,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20243,70.4,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20244,70.6,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20244,69.8,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20251,70.2,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20252,69.3,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20253,69.4,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
평창동,20254,69.8,평창동,23.0,0,26.01,5.21,3.8,9.79,1.0,1.0
무악동,20211,72.8,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20212,72.5,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20213,72.3,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20214,71.4,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20221,75.6,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20222,75.6,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20223,75.5,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20224,75.5,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20231,75.5,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20232,75.7,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20233,75.6,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20234,75.6,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20241,75.8,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20242,76.1,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20243,70.4,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20244,70.6,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20244,69.8,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20251,70.2,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20252,69.3,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20253,69.4,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
무악동,20254,69.8,무악동,1.0,0,6.82,6.11,1.62,4.07,1.0,1.0
교남동,20211,72.8,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20212,72.5,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20213,72.3,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20214,71.4,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20221,75.6,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20222,75.6,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20223,75.5,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20224,75.5,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20231,75.5,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20232,75.7,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20233,75.6,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20234,75.6,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20241,75.8,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20242,76.1,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20243,70.4,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20244,70.6,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20244,69.8,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20251,70.2,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20252,69.3,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20253,69.4,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
교남동,20254,69.8,교남동,26.0,0,18.12,5.35,3.79,7.82,1.0,1.0
가회동,20211,72.8,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20212,72.5,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20213,72.3,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20214,71.4,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20221,75.6,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20222,75.6,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20223,75.5,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20224,75.5,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20231,75.5,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20232,75.7,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20233,75.6,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20234,75.6,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20241,75.8,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20242,76.1,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20243,70.4,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20244,70.6,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20244,69.8,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20251,70.2,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20252,69.3,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20253,69.4,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
가회동,20254,69.8,가회동,25.0,0,11.12,13.99,11.77,12.16,1.0,1.0
종로1·2·3·4가동,20211,72.8,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20212,72.5,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20213,72.3,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20214,71.4,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20221,75.6,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20222,75.6,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20223,75.5,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20224,75.5,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20231,75.5,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20232,75.7,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20233,75.6,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20234,75.6,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20241,75.8,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20242,76.1,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20243,70.4,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20244,70.6,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20244,69.8,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20251,70.2,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20252,69.3,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20253,69.4,종로1·2·3·4가동,33.0,0,,,,,,
종로1·2·3·4가동,20254,69.8,종로1·2·3·4가동,33.0,0,,,,,,
종로5·6가동,20211,72.8,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20212,72.5,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20213,72.3,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20214,71.4,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20221,75.6,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20222,75.6,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20223,75.5,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20224,75.5,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20231,75.5,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20232,75.7,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20233,75.6,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20234,75.6,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20241,75.8,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20242,76.1,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20243,70.4,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20244,70.6,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20244,69.8,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20251,70.2,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20252,69.3,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20253,69.4,종로5·6가동,18.0,0,,,,,,
종로5·6가동,20254,69.8,종로5·6가동,18.0,0,,,,,,
이화동,20211,72.8,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20212,72.5,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20213,72.3,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20214,71.4,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20221,75.6,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20222,75.6,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20223,75.5,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20224,75.5,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20231,75.5,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20232,75.7,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20233,75.6,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20234,75.6,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20241,75.8,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20242,76.1,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20243,70.4,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20244,70.6,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20244,69.8,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20251,70.2,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20252,69.3,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20253,69.4,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
이화동,20254,69.8,이화동,23.0,0,20.36,13.02,15.43,16.08,1.0,1.0
혜화동,20211,72.8,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20212,72.5,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20213,72.3,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20214,71.4,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20221,75.6,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20222,75.6,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20223,75.5,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20224,75.5,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20231,75.5,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20232,75.7,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20233,75.6,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20234,75.6,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20241,75.8,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20242,76.1,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20243,70.4,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20244,70.6,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20244,69.8,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20251,70.2,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20252,69.3,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20253,69.4,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
혜화동,20254,69.8,혜화동,43.0,0,35.79,14.12,20.61,22.83,0.0,4.0
창신1동,20211,72.8,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20212,72.5,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20213,72.3,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20214,71.4,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20221,75.6,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20222,75.6,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20223,75.5,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20224,75.5,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20231,75.5,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20232,75.7,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20233,75.6,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20234,75.6,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20241,75.8,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20242,76.1,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20243,70.4,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20244,70.6,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20244,69.8,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20251,70.2,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20252,69.3,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20253,69.4,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신1동,20254,69.8,창신1동,12.0,0,12.16,1.81,3.52,5.28,1.0,1.0
창신2동,20211,72.8,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20212,72.5,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20213,72.3,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20214,71.4,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20221,75.6,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20222,75.6,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20223,75.5,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20224,75.5,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20231,75.5,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20232,75.7,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20233,75.6,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20234,75.6,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20241,75.8,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20242,76.1,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20243,70.4,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20244,70.6,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20244,69.8,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20251,70.2,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20252,69.3,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20253,69.4,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신2동,20254,69.8,창신2동,3.0,0,16.94,0.15,2.12,5.39,1.0,1.0
창신3동,20211,72.8,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20212,72.5,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20213,72.3,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20214,71.4,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20221,75.6,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20222,75.6,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20223,75.5,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20224,75.5,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20231,75.5,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20232,75.7,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20233,75.6,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20234,75.6,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
창신3동,20241,75.8,창신3동,15.0,0,5.13,1.57,1.15,2.26,1.0,1.0
